Make,Model,Year,HP,Cylinders,Transmission,Drive Mode,Vehicle Style,MPG-H,MPG-C,Popularity,Price,HP_Type,Price_class
Chrysler,300,2015,292,6,AUTOMATIC,rear wheel drive,Sedan,31,19,1013,38100,low,mid
Chrysler,300,2015,292,6,AUTOMATIC,all wheel drive,Sedan,27,18,1013,44900,low,mid
Chrysler,300,2015,300,6,AUTOMATIC,rear wheel drive,Sedan,31,19,1013,35100,high,mid
Chrysler,300,2015,292,6,AUTOMATIC,rear wheel drive,Sedan,31,19,1013,42400,low,mid
Chrysler,300,2015,292,6,AUTOMATIC,all wheel drive,Sedan,27,18,1013,34200,low,mid
Chrysler,300,2015,292,6,AUTOMATIC,all wheel drive,Sedan,27,18,1013,40600,low,mid
Chrysler,300,2016,300,6,AUTOMATIC,all wheel drive,Sedan,27,18,1013,38100,high,mid
Chrysler,300,2016,300,6,AUTOMATIC,rear wheel drive,Sedan,31,19,1013,35600,high,mid
Chrysler,300,2016,292,6,AUTOMATIC,all wheel drive,Sedan,27,18,1013,45200,low,mid
Chrysler,300,2016,292,6,AUTOMATIC,rear wheel drive,Sedan,31,19,1013,32300,low,mid
Chrysler,300,2016,292,6,AUTOMATIC,all wheel drive,Sedan,27,18,1013,37800,low,mid
Chrysler,300,2016,292,6,AUTOMATIC,all wheel drive,Sedan,27,18,1013,41100,low,mid
Chrysler,300,2016,300,6,AUTOMATIC,rear wheel drive,Sedan,31,19,1013,36100,high,mid
Chrysler,300,2016,292,6,AUTOMATIC,rear wheel drive,Sedan,31,19,1013,42700,low,mid
Chrysler,300,2016,292,6,AUTOMATIC,rear wheel drive,Sedan,31,19,1013,38600,low,mid
Chrysler,300,2016,292,6,AUTOMATIC,rear wheel drive,Sedan,31,19,1013,35300,low,mid
Chrysler,300,2016,300,6,AUTOMATIC,all wheel drive,Sedan,27,18,1013,38600,high,mid
Chrysler,300,2016,292,6,AUTOMATIC,all wheel drive,Sedan,27,18,1013,34800,low,mid
Chrysler,300,2017,292,6,AUTOMATIC,all wheel drive,Sedan,27,18,1013,41100,low,mid
Chrysler,300,2017,292,6,AUTOMATIC,all wheel drive,Sedan,27,18,1013,45300,low,mid
Chrysler,300,2017,300,6,AUTOMATIC,all wheel drive,Sedan,27,18,1013,38700,high,mid
Chrysler,300,2017,292,6,AUTOMATIC,rear wheel drive,Sedan,30,19,1013,38600,low,mid
Chrysler,300,2017,300,6,AUTOMATIC,rear wheel drive,Sedan,30,19,1013,36200,high,mid
Chrysler,300,2017,300,6,AUTOMATIC,all wheel drive,Sedan,27,18,1013,38200,high,mid
Chrysler,300,2017,292,6,AUTOMATIC,rear wheel drive,Sedan,30,19,1013,32300,low,mid
Chrysler,300,2017,292,6,AUTOMATIC,rear wheel drive,Sedan,30,19,1013,42800,low,mid
Chrysler,300,2017,292,6,AUTOMATIC,all wheel drive,Sedan,27,18,1013,34800,low,mid
Chrysler,300,2017,300,6,AUTOMATIC,rear wheel drive,Sedan,30,19,1013,35700,high,mid
Chrysler,300M,2002,250,6,AUTOMATIC,front wheel drive,Sedan,24,16,1013,32100,low,mid
Chrysler,300M,2002,250,6,AUTOMATIC,front wheel drive,Sedan,24,16,1013,28500,low,low
Chrysler,300M,2003,255,6,AUTOMATIC,front wheel drive,Sedan,25,16,1013,32300,low,mid
Chrysler,300M,2003,250,6,AUTOMATIC,front wheel drive,Sedan,25,16,1013,28900,low,low
Chrysler,300M,2004,250,6,AUTOMATIC,front wheel drive,Sedan,25,16,1013,29200,low,low
Chrysler,300M,2004,255,6,AUTOMATIC,front wheel drive,Sedan,25,16,1013,32600,low,mid
Ferrari,360,2002,400,8,MANUAL,rear wheel drive,Convertible,15,10,2774,160800,high,high
Ferrari,360,2002,400,8,MANUAL,rear wheel drive,Coupe,15,10,2774,140600,high,high
Ferrari,360,2002,400,8,AUTOMATED_MANUAL,rear wheel drive,Coupe,15,10,2774,150700,high,high
Ferrari,360,2002,400,8,AUTOMATED_MANUAL,rear wheel drive,Convertible,15,10,2774,170800,high,high
Ferrari,360,2003,400,8,MANUAL,rear wheel drive,Convertible,15,10,2774,166000,high,high
Ferrari,360,2003,400,8,AUTOMATED_MANUAL,rear wheel drive,Coupe,15,10,2774,154100,high,high
Ferrari,360,2003,400,8,MANUAL,rear wheel drive,Coupe,15,10,2774,143900,high,high
Ferrari,360,2003,400,8,AUTOMATED_MANUAL,rear wheel drive,Convertible,15,10,2774,176300,high,high
Ferrari,360,2004,400,8,AUTOMATED_MANUAL,rear wheel drive,Coupe,15,10,2774,157800,high,high
Ferrari,360,2004,425,8,AUTOMATED_MANUAL,rear wheel drive,Coupe,15,10,2774,187100,high,high
Ferrari,360,2004,400,8,MANUAL,rear wheel drive,Coupe,15,10,2774,147300,high,high
Ferrari,360,2004,400,8,MANUAL,rear wheel drive,Convertible,15,10,2774,169900,high,high
Ferrari,360,2004,400,8,AUTOMATED_MANUAL,rear wheel drive,Convertible,15,10,2774,180400,high,high
Ferrari,456M,2001,442,12,AUTOMATIC,rear wheel drive,Coupe,14,9,2774,224000,high,high
Ferrari,456M,2001,442,12,MANUAL,rear wheel drive,Coupe,15,9,2774,219800,high,high
Ferrari,456M,2002,442,12,AUTOMATIC,rear wheel drive,Coupe,14,9,2774,228600,high,high
Ferrari,456M,2002,442,12,MANUAL,rear wheel drive,Coupe,15,9,2774,224600,high,high
Ferrari,456M,2003,442,12,AUTOMATIC,rear wheel drive,Coupe,14,9,2774,228600,high,high
Ferrari,456M,2003,442,12,MANUAL,rear wheel drive,Coupe,15,9,2774,224600,high,high
Ferrari,458 Italia,2013,562,8,AUTOMATED_MANUAL,rear wheel drive,Convertible,17,13,2774,257400,high,high
Ferrari,458 Italia,2013,562,8,AUTOMATED_MANUAL,rear wheel drive,Coupe,17,13,2774,233500,high,high
Ferrari,458 Italia,2014,562,8,AUTOMATED_MANUAL,rear wheel drive,Coupe,17,13,2774,233500,high,high
Ferrari,458 Italia,2014,597,8,AUTOMATED_MANUAL,rear wheel drive,Coupe,17,13,2774,288000,high,high
Ferrari,458 Italia,2014,562,8,AUTOMATED_MANUAL,rear wheel drive,Convertible,17,13,2774,257400,high,high
Ferrari,458 Italia,2015,562,8,AUTOMATED_MANUAL,rear wheel drive,Coupe,17,13,2774,239300,high,high
Ferrari,458 Italia,2015,562,8,AUTOMATED_MANUAL,rear wheel drive,Convertible,17,13,2774,263600,high,high
Ferrari,458 Italia,2015,597,8,AUTOMATED_MANUAL,rear wheel drive,Coupe,17,13,2774,291700,high,high
FIAT,500e,2015,240,0,DIRECT_DRIVE,front wheel drive,2dr Hatchback,108,122,819,31800,low,mid
FIAT,500e,2016,240,0,DIRECT_DRIVE,front wheel drive,2dr Hatchback,103,121,819,31800,low,mid
FIAT,500e,2017,240,0,DIRECT_DRIVE,front wheel drive,2dr Hatchback,103,121,819,31800,low,mid
FIAT,500,2015,160,4,MANUAL,front wheel drive,Convertible,34,28,819,26600,low,low
FIAT,500,2015,101,4,MANUAL,front wheel drive,2dr Hatchback,40,31,819,18700,low,low
FIAT,500,2015,135,4,MANUAL,front wheel drive,2dr Hatchback,34,28,819,19700,low,low
FIAT,500,2015,101,4,MANUAL,front wheel drive,Convertible,34,28,819,22800,low,low
FIAT,500,2015,101,4,MANUAL,front wheel drive,Convertible,34,28,819,24700,low,low
FIAT,500,2015,160,4,MANUAL,front wheel drive,2dr Hatchback,34,28,819,22500,low,low
FIAT,500,2015,101,4,MANUAL,front wheel drive,2dr Hatchback,40,31,819,17500,low,low
FIAT,500,2015,101,4,MANUAL,front wheel drive,Convertible,34,28,819,20300,low,low
FIAT,500,2015,101,4,MANUAL,front wheel drive,2dr Hatchback,40,31,819,17700,low,low
FIAT,500,2015,101,4,MANUAL,front wheel drive,2dr Hatchback,40,31,819,20400,low,low
FIAT,500,2015,101,4,MANUAL,front wheel drive,2dr Hatchback,40,31,819,16800,low,low
FIAT,500,2016,160,4,MANUAL,front wheel drive,Convertible,34,28,819,26700,low,low
FIAT,500,2016,101,4,MANUAL,front wheel drive,2dr Hatchback,40,31,819,21300,low,low
FIAT,500,2016,101,4,MANUAL,front wheel drive,2dr Hatchback,40,31,819,20400,low,low
FIAT,500,2016,101,4,MANUAL,front wheel drive,2dr Hatchback,40,31,819,17700,low,low
FIAT,500,2016,160,4,MANUAL,front wheel drive,2dr Hatchback,34,28,819,22600,low,low
FIAT,500,2016,101,4,MANUAL,front wheel drive,Convertible,40,31,819,24500,low,low
FIAT,500,2016,101,4,MANUAL,front wheel drive,2dr Hatchback,40,31,819,17000,low,low
FIAT,500,2016,101,4,MANUAL,front wheel drive,Convertible,40,31,819,20400,low,low
FIAT,500,2016,135,4,MANUAL,front wheel drive,2dr Hatchback,34,28,819,19700,low,low
FIAT,500,2016,101,4,MANUAL,front wheel drive,2dr Hatchback,40,31,819,17900,low,low
FIAT,500,2016,101,4,MANUAL,front wheel drive,Convertible,40,31,819,21400,low,low
FIAT,500,2017,160,4,MANUAL,front wheel drive,2dr Hatchback,33,28,819,20000,low,low
FIAT,500,2017,101,4,AUTOMATIC,front wheel drive,2dr Hatchback,33,27,819,19400,low,low
FIAT,500,2017,101,4,AUTOMATIC,front wheel drive,Convertible,33,27,819,17500,low,low
FIAT,500,2017,101,4,AUTOMATIC,front wheel drive,Convertible,33,27,819,20900,low,low
FIAT,500,2017,160,4,MANUAL,front wheel drive,Convertible,33,28,819,21500,low,low
FIAT,500,2017,101,4,AUTOMATIC,front wheel drive,2dr Hatchback,33,27,819,16000,low,low
FIAT,500L,2015,160,4,MANUAL,front wheel drive,Wagon,33,25,819,19300,low,low
FIAT,500L,2015,160,4,MANUAL,front wheel drive,Wagon,33,25,819,23100,low,low
FIAT,500L,2015,160,4,AUTOMATIC,front wheel drive,Wagon,30,22,819,24700,low,low
FIAT,500L,2015,160,4,MANUAL,front wheel drive,Wagon,33,25,819,21700,low,low
FIAT,500L,2015,160,4,MANUAL,front wheel drive,Wagon,33,25,819,20700,low,low
FIAT,500L,2016,160,4,MANUAL,front wheel drive,Wagon,33,25,819,21900,low,low
FIAT,500L,2016,160,4,MANUAL,front wheel drive,Wagon,33,25,819,23400,low,low
FIAT,500L,2016,160,4,AUTOMATIC,front wheel drive,Wagon,30,22,819,24800,low,low
FIAT,500L,2016,160,4,MANUAL,front wheel drive,Wagon,33,25,819,20800,low,low
FIAT,500L,2016,160,4,MANUAL,front wheel drive,Wagon,33,25,819,19500,low,low
FIAT,500L,2017,160,4,AUTOMATIC,front wheel drive,Wagon,30,22,819,23700,low,low
FIAT,500L,2017,160,4,AUTOMATIC,front wheel drive,Wagon,30,22,819,21000,low,low
FIAT,500L,2017,160,4,AUTOMATIC,front wheel drive,Wagon,30,22,819,23000,low,low
FIAT,500X,2016,180,4,AUTOMATIC,all wheel drive,4dr SUV,30,21,819,24600,low,low
FIAT,500X,2016,180,4,AUTOMATIC,front wheel drive,4dr SUV,31,22,819,25100,low,low
FIAT,500X,2016,180,4,AUTOMATIC,all wheel drive,4dr SUV,30,21,819,29200,low,low
FIAT,500X,2016,180,4,AUTOMATIC,front wheel drive,4dr SUV,31,22,819,23300,low,low
FIAT,500X,2016,180,4,AUTOMATIC,front wheel drive,4dr SUV,31,22,819,22700,low,low
FIAT,500X,2016,180,4,AUTOMATIC,all wheel drive,4dr SUV,30,21,819,27000,low,low
FIAT,500X,2016,160,4,MANUAL,front wheel drive,4dr SUV,34,25,819,20000,low,low
FIAT,500X,2016,180,4,AUTOMATIC,front wheel drive,4dr SUV,31,22,819,27300,low,low
FIAT,500X,2016,180,4,AUTOMATIC,all wheel drive,4dr SUV,30,21,819,25200,low,low
FIAT,500X,2017,180,4,AUTOMATIC,all wheel drive,4dr SUV,29,21,819,27000,low,low
FIAT,500X,2017,180,4,AUTOMATIC,front wheel drive,4dr SUV,30,22,819,25100,low,low
FIAT,500X,2017,180,4,AUTOMATIC,all wheel drive,4dr SUV,29,21,819,25200,low,low
FIAT,500X,2017,180,4,AUTOMATIC,all wheel drive,4dr SUV,29,21,819,23900,low,low
FIAT,500X,2017,180,4,AUTOMATIC,front wheel drive,4dr SUV,30,22,819,23300,low,low
FIAT,500X,2017,160,4,MANUAL,front wheel drive,4dr SUV,33,25,819,20000,low,low
Ferrari,550,2001,485,12,MANUAL,rear wheel drive,Convertible,12,8,2774,248500,high,high
Ferrari,550,2001,485,12,MANUAL,rear wheel drive,Coupe,12,8,2774,205800,high,high
Ferrari,575M,2002,515,12,MANUAL,rear wheel drive,Coupe,15,9,2774,214700,high,high
Ferrari,575M,2002,515,12,AUTOMATED_MANUAL,rear wheel drive,Coupe,16,9,2774,224700,high,high
Ferrari,575M,2003,515,12,MANUAL,rear wheel drive,Coupe,15,9,2774,217900,high,high
Ferrari,575M,2003,515,12,AUTOMATED_MANUAL,rear wheel drive,Coupe,16,9,2774,228300,high,high
Ferrari,575M,2004,515,12,AUTOMATED_MANUAL,rear wheel drive,Coupe,16,9,2774,228300,high,high
Ferrari,575M,2004,515,12,MANUAL,rear wheel drive,Coupe,15,9,2774,217900,high,high
Ferrari,599,2009,611,12,AUTOMATED_MANUAL,rear wheel drive,Coupe,15,11,2774,320600,high,high
Ferrari,599,2009,611,12,MANUAL,rear wheel drive,Coupe,15,11,2774,310500,high,high
Ferrari,599,2010,611,12,MANUAL,rear wheel drive,Coupe,15,11,2774,310500,high,high
Ferrari,599,2011,611,12,AUTOMATED_MANUAL,rear wheel drive,Coupe,15,11,2774,320600,high,high
Ferrari,599,2011,661,12,AUTOMATED_MANUAL,rear wheel drive,Coupe,15,11,2774,410000,high,high
Ferrari,612 Scaglietti,2009,532,12,AUTOMATED_MANUAL,rear wheel drive,Coupe,16,9,2774,313100,high,high
Ferrari,612 Scaglietti,2010,532,12,AUTOMATED_MANUAL,rear wheel drive,Coupe,16,9,2774,313100,high,high
Ferrari,612 Scaglietti,2011,532,12,AUTOMATED_MANUAL,rear wheel drive,Coupe,16,9,2774,313100,high,high
Porsche,718 Cayman,2017,300,4,MANUAL,rear wheel drive,Coupe,28,21,1715,53900,high,high
Porsche,718 Cayman,2017,350,4,MANUAL,rear wheel drive,Coupe,26,20,1715,66300,high,high
Saab,9-2X,2005,227,4,MANUAL,all wheel drive,Wagon,24,17,376,27000,low,low
Saab,9-2X,2005,165,4,MANUAL,all wheel drive,Wagon,27,20,376,23000,low,low
Saab,9-2X,2006,230,4,MANUAL,all wheel drive,Wagon,25,18,376,27000,low,low
Saab,9-2X,2006,173,4,MANUAL,all wheel drive,Wagon,26,19,376,23000,low,low
Saab,9-3 Griffin,2012,220,4,MANUAL,front wheel drive,Sedan,33,20,376,28900,low,low
Saab,9-3 Griffin,2012,220,4,MANUAL,front wheel drive,Convertible,33,20,376,44100,low,mid
Saab,9-3 Griffin,2012,220,4,MANUAL,front wheel drive,Convertible,33,20,376,46100,low,mid
Saab,9-3 Griffin,2012,220,4,MANUAL,all wheel drive,Sedan,30,20,376,37100,low,mid
Saab,9-3 Griffin,2012,220,4,MANUAL,front wheel drive,Convertible,33,20,376,39500,low,mid
Saab,9-3 Griffin,2012,220,4,MANUAL,front wheel drive,Sedan,33,20,376,34300,low,mid
Saab,9-3 Griffin,2012,220,4,AUTOMATIC,front wheel drive,Convertible,28,18,376,44100,low,mid
Saab,9-3 Griffin,2012,220,4,AUTOMATIC,front wheel drive,Convertible,28,18,376,40800,low,mid
Saab,9-3 Griffin,2012,220,4,AUTOMATIC,front wheel drive,Wagon,28,18,376,31200,low,mid
Saab,9-3 Griffin,2012,220,4,MANUAL,all wheel drive,Sedan,30,20,376,32400,low,mid
Saab,9-3 Griffin,2012,220,4,AUTOMATIC,front wheel drive,Sedan,29,19,376,34300,low,mid
Saab,9-3 Griffin,2012,220,4,AUTOMATIC,all wheel drive,Wagon,29,18,376,35000,low,mid
Saab,9-3 Griffin,2012,220,4,AUTOMATIC,all wheel drive,Sedan,29,18,376,37100,low,mid
Saab,9-3 Griffin,2012,220,4,MANUAL,all wheel drive,Wagon,30,20,376,35000,low,mid
Saab,9-3 Griffin,2012,220,4,AUTOMATIC,front wheel drive,Sedan,29,19,376,30200,low,mid
Saab,9-3 Griffin,2012,220,4,AUTOMATIC,all wheel drive,Sedan,29,18,376,32400,low,mid
Saab,9-3 Griffin,2012,220,4,MANUAL,front wheel drive,Wagon,33,20,376,29800,low,low
Saab,9-3 Griffin,2012,220,4,AUTOMATIC,front wheel drive,Convertible,28,18,376,46100,low,mid
Saab,9-3,2009,210,4,AUTOMATIC,all wheel drive,Wagon,27,17,376,37800,low,mid
Saab,9-3,2009,280,6,AUTOMATIC,front wheel drive,Convertible,24,15,376,51300,low,high
Saab,9-3,2009,210,4,AUTOMATIC,front wheel drive,Wagon,27,19,376,38300,low,mid
Saab,9-3,2009,280,6,AUTOMATIC,all wheel drive,Wagon,24,15,376,44900,low,mid
Saab,9-3,2009,210,4,MANUAL,front wheel drive,Sedan,29,19,376,30400,low,mid
Saab,9-3,2009,210,4,MANUAL,front wheel drive,Convertible,27,19,376,42100,low,mid
Saab,9-3,2009,280,6,AUTOMATIC,all wheel drive,Sedan,24,15,376,43600,low,mid
Saab,9-3,2009,210,4,MANUAL,front wheel drive,Wagon,29,19,376,31800,low,mid
Saab,9-3,2009,210,4,AUTOMATIC,front wheel drive,Wagon,27,19,376,35300,low,mid
Saab,9-3,2009,210,4,AUTOMATIC,front wheel drive,Sedan,28,19,376,37100,low,mid
Saab,9-3,2009,210,4,AUTOMATIC,front wheel drive,Sedan,28,19,376,34200,low,mid
Saab,9-3,2009,210,4,AUTOMATIC,front wheel drive,Convertible,27,19,376,44500,low,mid
Saab,9-3,2009,210,4,AUTOMATIC,all wheel drive,Sedan,27,17,376,36400,low,mid
Saab,9-3,2009,210,4,AUTOMATIC,front wheel drive,Convertible,27,19,376,47300,low,mid
Saab,9-3,2010,207,4,AUTOMATIC,all wheel drive,Sedan,27,17,376,32400,low,mid
Saab,9-3,2010,207,4,MANUAL,front wheel drive,Sedan,31,21,376,28900,low,low
Saab,9-3,2010,207,4,MANUAL,front wheel drive,Wagon,31,21,376,30300,low,mid
Saab,9-3,2010,207,4,MANUAL,front wheel drive,Convertible,29,20,376,40000,low,mid
Saab,9-3,2010,207,4,AUTOMATIC,all wheel drive,Sedan,27,17,376,38100,low,mid
Saab,9-3,2010,207,4,AUTOMATIC,front wheel drive,Convertible,27,19,376,45100,low,mid
Saab,9-3,2010,207,4,AUTOMATIC,front wheel drive,Sedan,28,19,376,35300,low,mid
Saab,9-3,2010,207,4,AUTOMATIC,all wheel drive,Wagon,27,17,376,37000,low,mid
Saab,9-3,2010,207,4,AUTOMATIC,front wheel drive,Wagon,27,19,376,37000,low,mid
Saab,9-3,2011,210,4,MANUAL,front wheel drive,Sedan,31,21,376,28900,low,low
Saab,9-3,2011,210,4,AUTOMATIC,all wheel drive,Sedan,27,17,376,38100,low,mid
Saab,9-3,2011,210,4,AUTOMATIC,all wheel drive,Sedan,27,17,376,32400,low,mid
Saab,9-3,2011,210,4,MANUAL,front wheel drive,Convertible,29,20,376,40000,low,mid
Saab,9-3,2011,210,4,MANUAL,front wheel drive,Wagon,31,21,376,30300,low,mid
Saab,9-3,2011,210,4,AUTOMATIC,front wheel drive,Wagon,27,19,376,37000,low,mid
Saab,9-3,2011,210,4,AUTOMATIC,front wheel drive,Sedan,28,19,376,35300,low,mid
Saab,9-3,2011,210,4,AUTOMATIC,all wheel drive,Wagon,27,17,376,37000,low,mid
Saab,9-3,2011,210,4,AUTOMATIC,front wheel drive,Convertible,27,19,376,45100,low,mid
Saab,9-4X,2011,265,6,AUTOMATIC,front wheel drive,4dr SUV,25,18,376,37200,low,mid
Saab,9-4X,2011,265,6,AUTOMATIC,all wheel drive,4dr SUV,23,17,376,35900,low,mid
Saab,9-4X,2011,265,6,AUTOMATIC,front wheel drive,4dr SUV,25,18,376,33400,low,mid
Saab,9-4X,2011,265,6,AUTOMATIC,all wheel drive,4dr SUV,23,17,376,40200,low,mid
Saab,9-4X,2011,300,6,AUTOMATIC,all wheel drive,4dr SUV,22,15,376,48000,high,mid
Saab,9-5,2009,260,4,AUTOMATIC,front wheel drive,Sedan,27,17,376,39400,low,mid
Saab,9-5,2009,260,4,AUTOMATIC,front wheel drive,Wagon,27,17,376,43300,low,mid
Saab,9-5,2009,260,4,AUTOMATIC,front wheel drive,Wagon,27,17,376,39600,low,mid
Saab,9-5,2009,260,4,AUTOMATIC,front wheel drive,Sedan,27,17,376,38400,low,mid
Saab,9-5,2009,260,4,AUTOMATIC,front wheel drive,Wagon,27,17,376,40800,low,mid
Saab,9-5,2009,260,4,AUTOMATIC,front wheel drive,Sedan,27,17,376,42000,low,mid
Saab,9-5,2010,300,6,AUTOMATIC,all wheel drive,Sedan,27,16,376,49200,high,mid
Saab,9-5,2011,220,4,MANUAL,front wheel drive,Sedan,33,20,376,38500,low,mid
Saab,9-5,2011,300,6,AUTOMATIC,all wheel drive,Sedan,27,17,376,49600,high,mid
Saab,9-5,2011,220,4,AUTOMATIC,front wheel drive,Sedan,28,18,376,43400,low,mid
Saab,9-5,2011,300,6,AUTOMATIC,all wheel drive,Sedan,27,17,376,48000,high,mid
Saab,9-7X,2007,290,6,AUTOMATIC,all wheel drive,4dr SUV,20,14,376,39200,low,mid
Saab,9-7X,2007,300,8,AUTOMATIC,all wheel drive,4dr SUV,19,13,376,41200,high,mid
Saab,9-7X,2008,300,8,AUTOMATIC,all wheel drive,4dr SUV,19,13,376,42800,high,mid
Saab,9-7X,2008,285,6,AUTOMATIC,all wheel drive,4dr SUV,20,14,376,40400,low,mid
Saab,9-7X,2008,390,8,AUTOMATIC,all wheel drive,4dr SUV,16,12,376,46500,high,mid
Saab,9-7X,2009,390,8,AUTOMATIC,all wheel drive,4dr SUV,16,12,376,49100,high,mid
Saab,9-7X,2009,285,6,AUTOMATIC,all wheel drive,4dr SUV,20,14,376,42600,low,mid
Saab,9-7X,2009,300,8,AUTOMATIC,all wheel drive,4dr SUV,20,14,376,45300,high,mid
Porsche,911,2015,350,6,MANUAL,rear wheel drive,Convertible,27,19,1715,96200,high,high
Porsche,911,2015,430,6,MANUAL,all wheel drive,Convertible,25,18,1715,132800,high,high
Porsche,911,2015,430,6,MANUAL,all wheel drive,Coupe,26,18,1715,120900,high,high
Porsche,911,2015,400,6,MANUAL,all wheel drive,Coupe,26,18,1715,105600,high,high
Porsche,911,2015,400,6,MANUAL,rear wheel drive,Coupe,27,19,1715,98900,high,high
Porsche,911,2015,520,6,AUTOMATED_MANUAL,all wheel drive,Convertible,24,17,1715,163000,high,high
Porsche,911,2015,350,6,MANUAL,all wheel drive,Convertible,26,19,1715,102900,high,high
Porsche,911,2015,520,6,AUTOMATED_MANUAL,all wheel drive,Coupe,24,17,1715,151100,high,high
Porsche,911,2015,350,6,MANUAL,all wheel drive,Coupe,27,19,1715,91000,high,high
Porsche,911,2015,350,6,MANUAL,rear wheel drive,Coupe,27,19,1715,84300,high,high
Porsche,911,2015,430,6,MANUAL,rear wheel drive,Coupe,26,18,1715,114200,high,high
Porsche,911,2015,560,6,AUTOMATED_MANUAL,all wheel drive,Coupe,24,17,1715,182700,high,high
Porsche,911,2015,560,6,AUTOMATED_MANUAL,all wheel drive,Convertible,24,17,1715,194600,high,high
Porsche,911,2015,475,6,AUTOMATED_MANUAL,rear wheel drive,Coupe,20,15,1715,130400,high,high
Porsche,911,2015,400,6,MANUAL,rear wheel drive,Convertible,27,19,1715,110800,high,high
Porsche,911,2015,400,6,MANUAL,all wheel drive,Convertible,26,18,1715,117500,high,high
Porsche,911,2015,430,6,MANUAL,rear wheel drive,Convertible,25,18,1715,126100,high,high
Porsche,911,2015,350,6,MANUAL,all wheel drive,Coupe,26,18,1715,101600,high,high
Porsche,911,2015,400,6,MANUAL,all wheel drive,Coupe,26,18,1715,116200,high,high
Porsche,911,2016,350,6,MANUAL,all wheel drive,Convertible,26,19,1715,102900,high,high
Porsche,911,2016,430,6,MANUAL,all wheel drive,Coupe,26,18,1715,120900,high,high
Porsche,911,2016,400,6,MANUAL,all wheel drive,Coupe,26,18,1715,105600,high,high
Porsche,911,2016,430,6,MANUAL,rear wheel drive,Convertible,25,18,1715,126100,high,high
Porsche,911,2016,350,6,MANUAL,all wheel drive,Coupe,27,19,1715,91000,high,high
Porsche,911,2016,400,6,MANUAL,rear wheel drive,Coupe,27,19,1715,98900,high,high
Porsche,911,2016,430,6,MANUAL,all wheel drive,Convertible,25,18,1715,132800,high,high
Porsche,911,2016,350,6,MANUAL,rear wheel drive,Coupe,27,19,1715,84300,high,high
Porsche,911,2016,520,6,AUTOMATED_MANUAL,all wheel drive,Coupe,24,17,1715,151100,high,high
Porsche,911,2016,350,6,MANUAL,all wheel drive,Convertible,26,19,1715,104600,high,high
